Account,Businees Unit,Currency,Year,Scenario,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Sales,Software,USD,2012,Actuals,"$90,924,002 ","$82,606,134 ","$72,780,220 ","$52,943,701 ","$77,528,109 ","$96,384,524 ","$77,345,061 ","$98,290,873 ","$79,879,127 ","$95,373,403 ","$54,887,908 ","$82,703,597 "
Cost of Goods Sold,Software,USD,2012,Actuals,"($41,623,278)","($40,464,347)","($30,806,326)","($21,412,962)","($37,047,252)","($44,819,597)","($34,847,393)","($47,903,350)","($35,880,653)","($44,982,115)","($26,929,424)","($34,233,473)"
Commissions Expense,Software,USD,2012,Actuals,"($4,454,359)","($3,386,032)","($3,389,705)","($2,149,257)","($3,168,079)","($4,417,624)","($3,386,461)","($4,052,846)","($3,418,737)","($4,365,527)","($2,455,561)","($3,646,726)"
Payroll Expense,Software,USD,2012,Actuals,"($9,901,680)","($9,871,172)","($8,459,696)","($6,303,408)","($8,493,573)","($11,082,494)","($8,081,033)","($11,070,018)","($8,410,665)","($10,081,727)","($6,300,578)","($9,099,438)"
Travel & Entertainment Expense,Software,USD,2012,Actuals,"($951,255)","($838,985)","($872,700)","($624,416)","($919,835)","($1,085,296)","($818,602)","($1,040,585)","($803,190)","($1,158,623)","($611,335)","($941,542)"
R&D Expense,Software,USD,2012,Actuals,"($4,094,116)","($3,599,297)","($3,213,050)","($2,466,394)","($3,350,416)","($3,973,250)","($3,752,045)","($4,170,217)","($3,524,451)","($4,281,007)","($2,727,155)","($3,711,633)"
Consulting Expense,Software,USD,2012,Actuals,"($5,261,471)","($4,215,309)","($3,781,799)","($2,788,120)","($4,656,777)","($5,399,647)","($4,448,901)","($5,654,825)","($4,598,250)","($5,505,410)","($2,908,553)","($4,664,773)"
Software/Hardware Expense,Software,USD,2012,Actuals,"($7,549,491)","($6,744,180)","($5,424,173)","($3,818,856)","($5,935,455)","($7,685,036)","($6,661,232)","($8,035,238)","($6,167,182)","($8,233,098)","($4,016,737)","($6,547,629)"
Marketing Expense,Software,USD,2012,Actuals,"($1,865,763)","($2,004,386)","($1,667,521)","($1,103,735)","($1,617,994)","($2,316,878)","($1,579,791)","($2,223,673)","($1,869,698)","($2,043,854)","($1,365,202)","($1,696,008)"
Sales,Advertising,USD,2012,Actuals,"$20,003,280 ","$24,781,840 ","$15,283,846 ","$15,883,110 ","$19,382,027 ","$22,168,441 ","$18,562,815 ","$29,487,262 ","$23,164,947 ","$27,658,287 ","$14,819,735 ","$18,194,791 "
Cost of Goods Sold,Advertising,USD,2012,Actuals,"($9,353,324)","($11,513,937)","($6,166,965)","($7,501,106)","($8,496,461)","($9,798,685)","($8,555,070)","($14,039,373)","($11,551,839)","($13,628,227)","($7,257,645)","($9,083,320)"
Commissions Expense,Advertising,USD,2012,Actuals,"($941,821)","($1,002,323)","($746,736)","($764,074)","($808,144)","($1,061,422)","($808,354)","($1,421,840)","($950,267)","($1,278,394)","($675,574)","($772,637)"
Payroll Expense,Advertising,USD,2012,Actuals,"($2,496,366)","($2,697,904)","($1,679,239)","($1,918,713)","($2,215,557)","($2,480,892)","($2,182,363)","($3,410,389)","($2,427,536)","($3,305,300)","($1,808,374)","($2,032,444)"
Travel & Entertainment Expense,Advertising,USD,2012,Actuals,"($212,638)","($297,458)","($167,930)","($194,736)","($235,827)","($260,283)","($221,103)","($348,081)","($260,895)","($321,588)","($172,652)","($185,865)"
R&D Expense,Advertising,USD,2012,Actuals,"($977,169)","($1,029,549)","($674,412)","($792,920)","($900,465)","($993,534)","($884,213)","($1,430,413)","($1,146,956)","($1,115,640)","($638,663)","($822,644)"
Consulting Expense,Advertising,USD,2012,Actuals,"($1,176,605)","($1,291,439)","($934,063)","($937,518)","($1,139,418)","($1,356,373)","($1,140,096)","($1,606,577)","($1,429,418)","($1,399,794)","($752,770)","($1,078,181)"
Software/Hardware Expense,Advertising,USD,2012,Actuals,"($1,729,022)","($2,125,980)","($1,266,805)","($1,181,160)","($1,678,429)","($1,922,968)","($1,563,338)","($2,266,251)","($1,651,944)","($2,138,006)","($1,069,556)","($1,550,361)"
